type,theme,count,percent,percent_count
Federal,Medicare,267,0.38402347289542194,0.38% (267)
Federal,LBA-ECO,263,0.3782703122527939,0.38% (263)
State,Energy and Environment,257,0.8482128123040364,0.85% (257)
State,Recreation,242,0.7987062279283145,0.80% (242)
Federal,Aura,234,0.33655989759374055,0.34% (234)
Federal,ABoVE,232,0.33368331727242656,0.33% (232)
Federal,Terra,227,0.32649186646914147,0.33% (227)
Federal,Aerospace,225,0.3236152861478275,0.32% (225)
Federal,Health,205,0.2948494829346872,0.29% (205)
County,GIS/Maps,205,1.8826338506749931,1.88% (205)
Federal,Use of Benefits and Services,203,0.2919729026133732,0.29% (203)
City,Government,203,0.9516219763735234,0.95% (203)
Federal,Good Governance,202,0.2905346124527162,0.29% (202)
City,Administration & Finance,197,0.9234952184511532,0.92% (197)
City,Housing & Development,197,0.9234952184511532,0.92% (197)
Federal,GPM,192,0.2761517108461461,0.28% (192)
Federal,AQUARIUS SAC-D,185,0.266083679721547,0.27% (185)
Federal,NPP-JPSS,180,0.25889222891826197,0.26% (180)
Federal,MEaSUREs,178,0.256015648596948,0.26% (178)
County,Finance & Administration,177,1.6254936174120673,1.63% (177)
State,Economic Development,176,0.5808772566751378,0.58% (176)
Federal,Uncategorized,169,0.24307103715103484,0.24% (169)
City,Community,167,0.7828614288393024,0.78% (167)
Federal,Public Transit,160,0.23012642570512173,0.23% (160)
Federal,CERES,158,0.22724984538380774,0.23% (158)
State,Local Government,158,0.5214693554242714,0.52% (158)
City,Social Services,156,0.7312957059816239,0.73% (156)
Federal,TROPESS,156,0.22437326506249372,0.22% (156)
City,Community & Economic Development,154,0.7219201200075005,0.72% (154)
County,Government,154,1.4142712829460924,1.41% (154)
City,Transportation and Mobility,154,0.7219201200075005,0.72% (154)
Federal,CMS,149,0.21430523393789463,0.21% (149)
County,Services,148,1.359169804389751,1.36% (148)
City,Retirement,146,0.6844177761110068,0.68% (146)
Federal,IGS,145,0.2085520732952666,0.21% (145)
State,Demographics,143,0.4719627710485495,0.47% (143)
County,Health,142,1.3040683258334098,1.30% (142)
City,Budget and Finance,137,0.6422276392274517,0.64% (137)
State,Society,136,0.4488596983398792,0.45% (136)
Federal,FIRE,131,0.18841601104606845,0.19% (131)
County,Voting & Elections,131,1.2030489484801175,1.20% (131)
Federal,Vaccinations,128,0.1841011405640974,0.18% (128)
State,Community,127,0.419155747714446,0.42% (127)
Federal,TES,126,0.18122456024278338,0.18% (126)
Federal,publications,124,0.17834797992146934,0.18% (124)
State,Administrative,121,0.39935311396415724,0.40% (121)
Federal,Railroads,120,0.17259481927884132,0.17% (120)
State,Environment,120,0.3960526750057758,0.40% (120)
Federal,Standards:Reference materials,117,0.16827994879687028,0.17% (117)
State,Human Services,115,0.37955048021386845,0.38% (115)
Federal,FIFE,115,0.16540336847555626,0.17% (115)
Federal,Economic Growth,112,0.1610884979935852,0.16% (112)
City,City Infrastructure & Service Requests,111,0.5203450215638478,0.52% (111)
State,Family & Health,109,0.35974784646357966,0.36% (109)
State,Social Services,109,0.35974784646357966,0.36% (109)
Federal,SAFARI 2000,109,0.1567736275116142,0.16% (109)
City,Equity Indicators,108,0.5062816426026626,0.51% (108)
Federal,Public Health Surveillance,108,0.15533533735095717,0.16% (108)
State,Business,107,0.3531469685468167,0.35% (107)
City,Infrastructure,107,0.5015938496156009,0.50% (107)
County,Public Safety,106,0.9734594544953623,0.97% (106)
Federal,MERRA-2,104,0.14958217670832916,0.15% (104)
Federal,CWIC,103,0.1481438865476721,0.15% (103)
Federal,500 Cities & Places,102,0.1467055963870151,0.15% (102)
City,Housing and Real Estate,100,0.46877929870616913,0.47% (100)
State,County,99,0.326743456879765,0.33% (99)
Federal,GHRSST,97,0.13951414558373004,0.14% (97)
Federal,Materials:Materials characterization,96,0.13807585542307305,0.14% (96)
Federal,Trucking and Motorcoaches,96,0.13807585542307305,0.14% (96)
State,State,95,0.31354170104623913,0.31% (95)
State,Revenue & Expense,95,0.31354170104623913,0.31% (95)
Federal,MASTER,93,0.13376098494110203,0.13% (93)
City,Utilities and City Services,93,0.4359647477967373,0.44% (93)
City,Recreation,91,0.42658916182261397,0.43% (91)
County,GIS,91,0.8357057581045092,0.84% (91)
Federal,ECCO,90,0.12944611445913098,0.13% (90)
State,Agriculture,90,0.29703950625433184,0.30% (90)
City,Public Safety and Preparedness,90,0.42190136883555224,0.42% (90)
Federal,Motor Vehicle,88,0.12656953413781696,0.13% (88)
State,Politics,88,0.2904386283375689,0.29% (88)
Federal,LANCE,88,0.12656953413781696,0.13% (88)
City,Health and Community Services,87,0.40783798987436715,0.41% (87)
City,Health,85,0.39846240390024373,0.40% (85)
City,Health & Human Services,84,0.39377461091318205,0.39% (84)
Federal,NPP,83,0.11937808333453191,0.12% (83)
Federal,Environment,82,0.11793979317387489,0.12% (82)
County,The Arlington Profile,82,0.7530535402699973,0.75% (82)
Federal,Teachers and Administrators,82,0.11793979317387489,0.12% (82)
Federal,Special Education,82,0.11793979317387489,0.12% (82)
Federal,ACF,82,0.11793979317387489,0.12% (82)
Federal,NACP,81,0.11650150301321788,0.12% (81)
State,Economy,81,0.26733555562889866,0.27% (81)
Federal,Administration and Oversight,81,0.11650150301321788,0.12% (81)
State,Health & Human Services,81,0.26733555562889866,0.27% (81)
Federal,Accelerating Access,80,0.11506321285256087,0.12% (80)
Federal,English Language Learners,80,0.11506321285256087,0.12% (80)
Federal,K-12,80,0.11506321285256087,0.12% (80)
City,Neighborhoods,79,0.3703356459778736,0.37% (79)
Federal,Standards:Reference data,78,0.11218663253124686,0.11% (78)
Federal,DISCOVER-AQ,78,0.11218663253124686,0.11% (78)
Federal,Vegetation,78,0.11218663253124686,0.11% (78)
Federal,patent,78,0.11218663253124686,0.11% (78)
Federal,Student Demographics,78,0.11218663253124686,0.11% (78)
City,Sustainability,77,0.36096006000375025,0.36% (77)
Federal,Suspension/Discipline,76,0.10931005220993283,0.11% (76)
State,Business and Economy,76,0.2508333608369913,0.25% (76)
Federal,STEM,76,0.10931005220993283,0.11% (76)
City,Transportation and Infrastructure,76,0.35627226701668857,0.36% (76)
Federal,Safety/Bullying,76,0.10931005220993283,0.11% (76)
State,Regulation,75,0.24753292187860987,0.25% (75)
Federal,Community,75,0.10787176204927582,0.11% (75)
Federal,Blog,74,0.1064334718886188,0.11% (74)
Federal,Advanced Communications:Wireless (RF),73,0.10499518172796181,0.10% (73)
City,Business & Economics,73,0.3422088880555034,0.34% (73)
City,Mapping,73,0.3422088880555034,0.34% (73)
City,Business,73,0.3422088880555034,0.34% (73)
Federal,IMPACTS,72,0.1035568915673048,0.10% (72)
State,Opioid Related,72,0.23763160500346547,0.24% (72)
Federal,TRMM,70,0.10068031124599076,0.10% (70)
State,Biota,69,0.22773028812832105,0.23% (69)
Federal,Sentinel-5P,68,0.09780373092467674,0.10% (68)
State,Labor,67,0.22112941021155816,0.22% (67)
Federal,CALIPSO,67,0.09636544076401973,0.10% (67)
Federal,Financial,67,0.09636544076401973,0.10% (67)
City,Elections & Campaign,66,0.3093943371460716,0.31% (66)
State,Governor's Executive Budget Program Measures,66,0.21782897125317666,0.22% (66)
State,Business & Economy,66,0.21782897125317666,0.22% (66)
Federal,Molecular biology/Genetics,66,0.09492715060336272,0.09% (66)
City,City Infrastructure,65,0.30470654415900994,0.30% (65)
City,"Housing, Land Use, and Blight",64,0.30001875117194826,0.30% (64)
State,Government Administration,63,0.2079276543780323,0.21% (63)
County,Property & Taxation,63,0.5785655248415833,0.58% (63)
Federal,Card Services Program,61,0.08773569980007767,0.09% (61)
Federal,USA Spending,61,0.08773569980007767,0.09% (61)
State,Culture and Community,60,0.1980263375028879,0.20% (60)
Federal,NARSTO,60,0.08629740963942066,0.09% (60)
Federal,Basic Education,60,0.08629740963942066,0.09% (60)
City,Locations and Maps,60,0.2812675792237015,0.28% (60)
City,See Category Tile,60,0.2812675792237015,0.28% (60)
State,See Category Tile,60,0.1980263375028879,0.20% (60)
Federal,Information Technology:Data and informatics,59,0.08485911947876364,0.08% (59)
City,Recreation and Culture,59,0.2765797862366398,0.28% (59)
Federal,Delta-X,57,0.08198253915744963,0.08% (57)
Federal,Ferry Transit,56,0.0805442489967926,0.08% (56)
State,COVID-19,55,0.18152414271098055,0.18% (55)
Federal,Information Technology:Cybersecurity,55,0.07910595883613561,0.08% (55)
County,Licenses/Permits,55,0.5050968867664616,0.51% (55)
Federal,ATom,55,0.07910595883613561,0.08% (55)
City,Maps,55,0.25782861428839304,0.26% (55)
Federal,Suomi-NPP,54,0.07766766867547858,0.08% (54)
Federal,uspto,54,0.07766766867547858,0.08% (54)
Federal,Humanitarian Assistance,54,0.07766766867547858,0.08% (54)
State,Community Demographics,53,0.17492326479421763,0.17% (53)
Federal,Manufacturing:Additive manufacturing,53,0.07622937851482157,0.08% (53)
City,Parks & Recreation,53,0.24845302831426963,0.25% (53)
Federal,Chemistry:Analytical chemistry,53,0.07622937851482157,0.08% (53)
Federal,Nutrition,53,0.07622937851482157,0.08% (53)
Federal,Nimbus,53,0.07622937851482157,0.08% (53)
Federal,JPSS,53,0.07622937851482157,0.08% (53)
Federal,Aviation,52,0.07479108835416458,0.07% (52)
State,Jobs,52,0.17162282583583616,0.17% (52)
City,Reference,52,0.24376523532720792,0.24% (52)
Federal,Bicycles and Pedestrians,52,0.07479108835416458,0.07% (52)
Federal,Physics:Spectroscopy,52,0.07479108835416458,0.07% (52)
Federal,Maternal and Child Health,52,0.07479108835416458,0.07% (52)
County,Archive,52,0.4775461474882909,0.48% (52)
Federal,EOS,51,0.07335279819350755,0.07% (51)
Federal,ISLSCP II,51,0.07335279819350755,0.07% (51)
Federal,ABR 2012,50,0.07191450803285054,0.07% (50)
Federal,Environmental Health & Toxicology,50,0.07191450803285054,0.07% (50)
Federal,EOSDIS,49,0.07047621787219355,0.07% (49)
Federal,NOAA - SPACE WEATHER PROGRAM,49,0.07047621787219355,0.07% (49)
State,Workforce,49,0.1617215089606918,0.16% (49)
County,COVID-19,49,0.4499954082101203,0.45% (49)
County,Courts,48,0.44081182845073014,0.44% (48)
Federal,ABR Reports,48,0.06903792771153652,0.07% (48)
State,Government-Wide Support,48,0.15842107000231032,0.16% (48)
State,Procurements and Contracts,48,0.15842107000231032,0.16% (48)
State,Transparency,48,0.15842107000231032,0.16% (48)
State,Tax and Revenue,47,0.15512063104392884,0.16% (47)
Federal,humanities grants,47,0.06759963755087951,0.07% (47)
Federal,Finance,47,0.06759963755087951,0.07% (47)
Federal,Information Technology:Software research,47,0.06759963755087951,0.07% (47)
Federal,OCO-2,47,0.06759963755087951,0.07% (47)
City,City Services,47,0.22032627039189948,0.22% (47)
Federal,MISR,46,0.0661613473902225,0.07% (46)
City,Government and Taxes,46,0.21563847740483777,0.22% (46)
County,Environment,46,0.4224446689319497,0.42% (46)
County,Transportation,45,0.41326108917255944,0.41% (45)
State,Employment,45,0.14851975312716592,0.15% (45)
Federal,Section 25. Banking,45,0.06472305722956549,0.06% (45)
Federal,and Insurance,45,0.06472305722956549,0.06% (45)
Federal,Heart Disease & Stroke Prevention,45,0.06472305722956549,0.06% (45)
Federal,Administrative,45,0.06472305722956549,0.06% (45)
City,FOIA,44,0.2062628914307144,0.21% (44)
Federal,GCPEx,44,0.06328476706890848,0.06% (44)
Federal,Acquisition,44,0.06328476706890848,0.06% (44)
County,Community/Recreation,43,0.394893929653779,0.39% (43)
Federal,CAMEX-4,43,0.06184647690825147,0.06% (43)
Federal,Information and Communications Technology Services,43,0.06184647690825147,0.06% (43)
City,Sanitation,42,0.19688730545659103,0.20% (42)
Federal,Demographics,42,0.06040818674759446,0.06% (42)
City,Public Services,42,0.19688730545659103,0.20% (42)
Federal,IPHEx,42,0.06040818674759446,0.06% (42)
City,Public Works,42,0.19688730545659103,0.20% (42)
Federal,SUOMI-NPP,41,0.058969896586937444,0.06% (41)
Federal,HIV/AIDS,41,0.058969896586937444,0.06% (41)
State,Demographic,41,0.13531799729364005,0.14% (41)
State,business,41,0.13531799729364005,0.14% (41)
City,Environment & Sustainable Development,41,0.19219951246952935,0.19% (41)
Federal,"Physics:Atomic, molecular, and quantum",41,0.058969896586937444,0.06% (41)
State,Economic Statistics,40,0.13201755833525858,0.13% (40)
City,Utilities & Water,40,0.18751171948246764,0.19% (40)
State,Housing,40,0.13201755833525858,0.13% (40)
Federal,Evaluation,40,0.057531606426280434,0.06% (40)
County,Health & Wellness,40,0.3673431903756084,0.37% (40)
City,Financial,39,0.18282392649540596,0.18% (39)
State,Hydrology,39,0.1287171193768771,0.13% (39)
Federal,State,39,0.05609331626562343,0.06% (39)
City,Housing & Property,39,0.18282392649540596,0.18% (39)
Federal,Legislation,38,0.05465502610496641,0.05% (38)
State,Economics,38,0.12541668041849566,0.13% (38)
City,Facilities & Geographic Boundaries,38,0.17813613350834429,0.18% (38)
County,Education,38,0.348976030856828,0.35% (38)
Federal,DISCOVER,38,0.05465502610496641,0.05% (38)
Federal,SPURS,38,0.05465502610496641,0.05% (38)
County,Environment & Waste Management,38,0.348976030856828,0.35% (38)
State,Population and Housing,37,0.12211624146011418,0.12% (37)
Federal,Mathematics and Statistics:Numerical methods and software,37,0.0532167359443094,0.05% (37)
Federal,SNF,37,0.0532167359443094,0.05% (37)
County,Finance/Tax/Property,37,0.3397924510974378,0.34% (37)
State,Covid 19,37,0.12211624146011418,0.12% (37)
Federal,Maritime and Waterways,36,0.0517784457836524,0.05% (36)
Federal,Mathematics and Statistics:Image and signal processing,36,0.0517784457836524,0.05% (36)
Federal,CYGNSS,36,0.0517784457836524,0.05% (36)
Federal,api,36,0.0517784457836524,0.05% (36)
Federal,Wireline,36,0.0517784457836524,0.05% (36)
City,Police,36,0.1687605475342209,0.17% (36)
City,Economy and Workforce,36,0.1687605475342209,0.17% (36)
Federal,Other Public Health Threats,36,0.0517784457836524,0.05% (36)
Federal,SWOT,36,0.0517784457836524,0.05% (36)
State,Open Data Program Documentation,36,0.11881580250173274,0.12% (36)
Federal,Other,35,0.05034015562299538,0.05% (35)
State,Boundaries,35,0.11551536354335126,0.12% (35)
State,Permit and Licensing,35,0.11551536354335126,0.12% (35)
Federal,OLYMPEX,35,0.05034015562299538,0.05% (35)
Federal,Materials:Polymers,35,0.05034015562299538,0.05% (35)
Federal,ERBE,35,0.05034015562299538,0.05% (35)
Federal,Information Technology:Computational science,35,0.05034015562299538,0.05% (35)
State,Dept of Workforce Services,34,0.1122149245849698,0.11% (34)
Federal,Materials:Modeling and computational material science,34,0.04890186546233837,0.05% (34)
Federal,MC3E,34,0.04890186546233837,0.05% (34)
State,Services Near You,34,0.1122149245849698,0.11% (34)
Federal,Policy Surveillance,34,0.04890186546233837,0.05% (34)
Federal,Research and Development,34,0.04890186546233837,0.05% (34)
City,Housing and Development,34,0.1593849615600975,0.16% (34)
State,Geographic Information,33,0.10891448562658833,0.11% (33)
Federal,ESIP,33,0.04746357530168136,0.05% (33)
Federal,Sentinel-6,33,0.04746357530168136,0.05% (33)
Federal,State Drug Utilization,33,0.04746357530168136,0.05% (33)
Federal,CAR,32,0.04602528514102435,0.05% (32)
Federal,TOMS,32,0.04602528514102435,0.05% (32)
Federal,GRACE,32,0.04602528514102435,0.05% (32)
State,Government and Finance,32,0.10561404666820688,0.11% (32)
Federal,Materials:Metals,32,0.04602528514102435,0.05% (32)
Federal,SOLVE,32,0.04602528514102435,0.05% (32)
State,Correctional System,31,0.1023136077098254,0.10% (31)
State,Elections,31,0.1023136077098254,0.10% (31)
State,Local Aggregation,31,0.1023136077098254,0.10% (31)
Federal,IFloodS,31,0.044586994980367334,0.04% (31)
Federal,ATDD,30,0.04314870481971033,0.04% (30)
Federal,2013_GR_NASA,30,0.04314870481971033,0.04% (30)
Federal,patent grant,30,0.04314870481971033,0.04% (30)
Federal,S-MODE,30,0.04314870481971033,0.04% (30)
Federal,Health Statistics,30,0.04314870481971033,0.04% (30)
Federal,NLDAS,29,0.04171041465905332,0.04% (29)
Federal,Water Supply and Sanitation,29,0.04171041465905332,0.04% (29)
City,Fire,29,0.13594599662478904,0.14% (29)
State,Health Statistics,29,0.09571272979306247,0.10% (29)
Federal,NDH,29,0.04171041465905332,0.04% (29)
State,Energy,29,0.09571272979306247,0.10% (29)
Federal,Section 3. Health and Nutrition,29,0.04171041465905332,0.04% (29)
Federal,FIREX-AQ,29,0.04171041465905332,0.04% (29)
City,City Administration,28,0.13125820363772736,0.13% (28)
State,Innovation Report,28,0.09241229083468101,0.09% (28)
State,Vocational Rehabilitation,28,0.09241229083468101,0.09% (28)
Federal,"Law Enforcement, Courts, and Prisons",28,0.0402721244983963,0.04% (28)
Federal,Survey Data,28,0.0402721244983963,0.04% (28)
Federal,Student Aid,28,0.0402721244983963,0.04% (28)
City,Economic Development,28,0.13125820363772736,0.13% (28)
Federal,SRB,28,0.0402721244983963,0.04% (28)
Federal,Pending Appointments,28,0.0402721244983963,0.04% (28)
City,Arts & Culture,28,0.13125820363772736,0.13% (28)
Federal,TOVS Pathfinder,28,0.0402721244983963,0.04% (28)
Federal,GLDAS,28,0.0402721244983963,0.04% (28)
Federal,MOPITT,27,0.03883383433773929,0.04% (27)
Federal,2012_GR_NASA,27,0.03883383433773929,0.04% (27)
Federal,Public Safety:Public safety communications research,27,0.03883383433773929,0.04% (27)
County,Healthcare,27,0.24795665350353566,0.25% (27)
Federal,LIS,27,0.03883383433773929,0.04% (27)
City,Ethics,27,0.12657041065066565,0.13% (27)
Federal,CARVE,27,0.03883383433773929,0.04% (27)
Federal,Malaria,27,0.03883383433773929,0.04% (27)
State,Primary & Secondary Ed,27,0.08911185187629954,0.09% (27)
Federal,CATS-ISS,27,0.03883383433773929,0.04% (27)
Federal,Terminology,27,0.03883383433773929,0.04% (27)
City,Thriving Neighborhoods,27,0.12657041065066565,0.13% (27)
City,Safety,27,0.12657041065066565,0.13% (27)
City,Safe City,27,0.12657041065066565,0.13% (27)
Federal,Chemistry:Chemical thermodynamics and chemical properties,26,0.03739554417708229,0.04% (26)
City,Emergency Preparedness,26,0.12188261766360396,0.12% (26)
Federal,application,26,0.03739554417708229,0.04% (26)
Federal,"La Selva, Costa Rica",26,0.03739554417708229,0.04% (26)
Federal,Soil,26,0.03739554417708229,0.04% (26)
Federal,"Fraser, CO",26,0.03739554417708229,0.04% (26)
Federal,Physics:Optical physics,26,0.03739554417708229,0.04% (26)
Federal,"Kings Canyon, CA",26,0.03739554417708229,0.04% (26)
Federal,regulations,26,0.03739554417708229,0.04% (26)
City,Library,26,0.12188261766360396,0.12% (26)
Federal,2011_GR_NASA,26,0.03739554417708229,0.04% (26)
Federal,Hospital,26,0.03739554417708229,0.04% (26)
City,Budget,26,0.12188261766360396,0.12% (26)
Federal,Environment:Greenhouse gas measurements,25,0.03595725401642527,0.04% (25)
Federal,"Salt Lake City, UT",25,0.03595725401642527,0.04% (25)
Federal,UARS,25,0.03595725401642527,0.04% (25)
City,Audits and Reports,25,0.11719482467654228,0.12% (25)
Federal,"Hayward Fault, CA",25,0.03595725401642527,0.04% (25)
Federal,"Gulf of Fonseca, Honduras",25,0.03595725401642527,0.04% (25)
State,Transportation Operations,25,0.08251097395953662,0.08% (25)
State,Environment and Natural Resources,25,0.08251097395953662,0.08% (25)
Federal,Telecommunications Services,25,0.03595725401642527,0.04% (25)
Federal,"San Joaquin Valley, CA",25,0.03595725401642527,0.04% (25)
Federal,2013_AN_NASA,25,0.03595725401642527,0.04% (25)
Federal,"Central Valley, CA",25,0.03595725401642527,0.04% (25)
City,Quality of Life,25,0.11719482467654228,0.12% (25)
State,Utility,24,0.07921053500115516,0.08% (24)
Federal,Drug Pricing and Payment,24,0.03451896385576826,0.03% (24)
Federal,Maternal & Child Health,24,0.03451896385576826,0.03% (24)
Federal,2017_GR_NASA,24,0.03451896385576826,0.03% (24)
City,Demographics,24,0.11250703168948059,0.11% (24)
State,Transportation Assets,24,0.07921053500115516,0.08% (24)
Federal,Policy,24,0.03451896385576826,0.03% (24)
Federal,2015_GR_NASA,24,0.03451896385576826,0.03% (24)
State,Government Efficiency & Citizen Engagement,24,0.07921053500115516,0.08% (24)
Federal,2015_AN_NASA,24,0.03451896385576826,0.03% (24)
Federal,2014_GR_NASA,24,0.03451896385576826,0.03% (24)
Federal,GRIP (HURRICANE),24,0.03451896385576826,0.03% (24)
Federal,2010_GR_NASA,24,0.03451896385576826,0.03% (24)
Federal,xml,24,0.03451896385576826,0.03% (24)
State,Pandemic Recovery,24,0.07921053500115516,0.08% (24)
Federal,2011_AN_NASA,24,0.03451896385576826,0.03% (24)
Federal,CAMEX-3,24,0.03451896385576826,0.03% (24)
Federal,DSCOVR,23,0.03308067369511125,0.03% (23)
Federal,GRACE-FO,23,0.03308067369511125,0.03% (23)
City,Agriculture,23,0.10781923870241888,0.11% (23)
Federal,2010_AN_NASA,23,0.03308067369511125,0.03% (23)
State,Local Government Finance,23,0.07591009604277368,0.08% (23)
City,Culture and Recreation,23,0.10781923870241888,0.11% (23)
State,Reference Data,23,0.07591009604277368,0.08% (23)
Federal,DODS,23,0.03308067369511125,0.03% (23)
City,Utilities,23,0.10781923870241888,0.11% (23)
Federal,Enrollment,22,0.03164238353445424,0.03% (22)
Federal,Audit,22,0.03164238353445424,0.03% (22)
Federal,Physics:Thermodynamics,22,0.03164238353445424,0.03% (22)
Federal,LPVEX,22,0.03164238353445424,0.03% (22)
Federal,Vision & Eye Health,22,0.03164238353445424,0.03% (22)
Federal,NAMMA,22,0.03164238353445424,0.03% (22)
State,health,22,0.07260965708439222,0.07% (22)
State,Planning,22,0.07260965708439222,0.07% (22)
State,K-12 Education,22,0.07260965708439222,0.07% (22)
Federal,trademark,22,0.03164238353445424,0.03% (22)
City,"Planning, Zoning",22,0.1031314457153572,0.10% (22)
Federal,teachers-and-administrators,22,0.03164238353445424,0.03% (22)
Federal,english-language-learners,22,0.03164238353445424,0.03% (22)
Federal,2012_AN_NASA,22,0.03164238353445424,0.03% (22)
Federal,suspension-discipline,22,0.03164238353445424,0.03% (22)
Federal,k-12,22,0.03164238353445424,0.03% (22)
Federal,student-demographics,22,0.03164238353445424,0.03% (22)
Federal,stem,22,0.03164238353445424,0.03% (22)
Federal,2009_AN_NASA,22,0.03164238353445424,0.03% (22)
City,Building and Development,22,0.1031314457153572,0.10% (22)
Federal,special-education,22,0.03164238353445424,0.03% (22)
State,Consumer Protection,22,0.07260965708439222,0.07% (22)
Federal,2014_AN_NASA,22,0.03164238353445424,0.03% (22)
County,Transportation & Roads,22,0.20203875470658464,0.20% (22)
Federal,safety-bullying,22,0.03164238353445424,0.03% (22)
Federal,Mathematics and Statistics:Modeling and simulation research,21,0.03020409337379723,0.03% (21)
Federal,AirMOSS,21,0.03020409337379723,0.03% (21)
Federal,Metrology:Electrical/electromagnetic metrology,21,0.03020409337379723,0.03% (21)
Federal,IDS,21,0.03020409337379723,0.03% (21)
Federal,SEAC4RS,21,0.03020409337379723,0.03% (21)
City,Environmental,21,0.09844365272829551,0.10% (21)
City,Efficient Service Delivery,21,0.09844365272829551,0.10% (21)
State,Environment & Agriculture,21,0.06930921812601076,0.07% (21)
Federal,ARCTAS,21,0.03020409337379723,0.03% (21)
Federal,ECOSTRESS,21,0.03020409337379723,0.03% (21)
Federal,2016_AN_NASA,20,0.028765803213140217,0.03% (20)
State,State Government Finance,20,0.06600877916762929,0.07% (20)
State,Physical Geography,20,0.06600877916762929,0.07% (20)
Federal,KORUS-AQ,20,0.028765803213140217,0.03% (20)
Federal,Global Health Security in Development (GHSD),20,0.028765803213140217,0.03% (20)
State,"Campaign Finance, Ethics and Elections",20,0.06600877916762929,0.07% (20)
Federal,"Democracy, Human Rights and Governance",20,0.028765803213140217,0.03% (20)
Federal,environment,20,0.028765803213140217,0.03% (20)
County,Human Resources,20,0.1836715951878042,0.18% (20)
County,Real Estate,20,0.1836715951878042,0.18% (20)
Federal,OPENDAP,20,0.028765803213140217,0.03% (20)
Federal,Statistics,20,0.028765803213140217,0.03% (20)
Federal,Expenditures,19,0.027327513052483206,0.03% (19)
Federal,"Howland Forest, ME",19,0.027327513052483206,0.03% (19)
County,Economy,19,0.174488015428414,0.17% (19)
Federal,SAGE III-ISS,19,0.027327513052483206,0.03% (19)
Federal,Climate,19,0.027327513052483206,0.03% (19)
Federal,Research,19,0.027327513052483206,0.03% (19)
Federal,"Galapagos Islands, Ecuador",19,0.027327513052483206,0.03% (19)
Federal,Chemistry:Theoretical chemistry and modeling,19,0.027327513052483206,0.03% (19)
Federal,GPW,19,0.027327513052483206,0.03% (19)
Federal,Veteran Utilization,19,0.027327513052483206,0.03% (19)
Federal,2016_GR_NASA,19,0.027327513052483206,0.03% (19)
Federal,Conflict Mitigation and Stabilization,19,0.027327513052483206,0.03% (19)
Federal,GOES-R PLT,19,0.027327513052483206,0.03% (19)
Federal,"Duke Forest, NC",19,0.027327513052483206,0.03% (19)
Federal,2018_GR_NASA,19,0.027327513052483206,0.03% (19)
Federal,financial,19,0.027327513052483206,0.03% (19)
Federal,DC3,19,0.027327513052483206,0.03% (19)
Federal,"Rosamond, CA",19,0.027327513052483206,0.03% (19)
Federal,"Jar2 Swiss Camp, Greenland",18,0.0258892228918262,0.03% (18)
Federal,"Cayambe Volcano, Ecuador",18,0.0258892228918262,0.03% (18)
